Transaction_ID,Customer_ID,Product_ID,Date,Revenue,Discount,Profit
1,1000,687,8/24/2021,168.28,0.43,54.37
2,1001,792,3/1/2022,103.06,0.02,21.06
3,1002,915,9/7/2020,125.16,0.07,33.63
4,1003,176,10/8/2021,58.99,0.38,17.93
5,1004,531,5/30/2023,413.42,0.26,126.31
6,1005,266,8/14/2022,299.49,0.05,69.55
7,1006,233,1/27/2020,170.12,0.1,83.03
8,1007,942,3/24/2020,491.96,0.42,151.56
9,1008,855,2/22/2020,169.68,0.18,42.52
10,1009,322,5/24/2020,268.33,0.55,55.65
11,1010,509,4/2/2023,202.92,0.16,52.01
12,1011,957,10/7/2023,62.04,0.15,12.75
13,1012,37,4/23/2020,54.98,0.29,19.29
14,1013,893,3/12/2020,69.21,0.31,11.39
15,1014,547,7/12/2022,315.8,0.21,115.06
16,1015,67,3/5/2021,287.54,0.29,58.95
17,1016,81,11/29/2022,81.84,0.17,30.32
18,1017,193,11/3/2022,55.68,0.19,21.31
19,1018,917,10/17/2021,127.37,0.34,48.57
20,1019,516,6/11/2021,450.65,0.32,115.9
21,1020,921,3/14/2022,76.37,0.21,13.88
22,1021,367,6/22/2022,77.9,0.35,27.7
23,1022,705,12/23/2023,91.38,0.07,29.14
24,1023,261,4/19/2021,215.56,0.36,74.61
25,1024,247,7/15/2023,293.69,0.28,49.31
26,1025,433,9/24/2021,618.29,0.74,82.39
27,1026,662,10/13/2022,190.22,0.39,43.88
28,1027,312,8/2/2021,339.75,0.33,74.13
29,1028,179,5/14/2021,570.86,0.32,131.24
30,1029,269,4/3/2022,283.27,0.08,107.36
31,1030,4,3/18/2023,98.68,0.11,48.26
32,1031,611,4/20/2021,149.21,0.36,38.79
33,1032,163,3/21/2023,50.41,0.21,20.42
34,1033,205,7/26/2023,93.95,0.27,16.45
35,1034,710,3/7/2020,97.76,0.34,25.11
36,1035,608,2/9/2023,157.51,0.38,50.39
37,1036,725,5/22/2023,85.96,0.58,11.63
38,1037,704,7/19/2021,229.51,0.41,56.58
39,1038,468,8/2/2020,72.6,0.1,30.5
40,1039,189,3/7/2021,113.54,0.11,49.87
41,1040,905,8/7/2020,332.83,0.63,44.76
42,1041,854,3/22/2023,89.75,0.14,25.85
43,1042,322,12/23/2022,57.23,0.21,13.82
44,1043,862,10/13/2021,124.78,0.58,29.37
45,1044,608,3/24/2023,328.32,0.47,96.04
46,1045,180,2/13/2022,203.08,0.54,52.81
47,1046,477,10/16/2022,338.32,0.31,127.45
48,1047,658,5/18/2020,84.45,0.52,15.75
49,1048,28,12/8/2022,168.04,0.24,56.06
50,1049,266,3/24/2021,220.91,0.18,57.4
51,1050,317,10/20/2020,607.99,0.41,95.49
52,1051,916,8/11/2020,290.25,0.12,96.9
53,1052,282,2/15/2021,89.89,0.08,26.33
54,1053,506,1/28/2020,983.28,0.39,143.2
55,1054,986,12/18/2021,444.98,0.09,143.63
56,1055,675,8/24/2021,70.95,0.06,21.89
57,1056,592,9/14/2020,257.78,0.17,85.92
58,1057,603,9/14/2023,153.14,0.12,42.67
59,1058,933,1/14/2023,58.37,0.21,26.22
60,1059,146,7/29/2023,96.01,0.13,37.52
61,1060,264,6/2/2021,118.92,0.23,48.07
62,1061,700,9/2/2023,224.9,0.18,108.1
63,1062,697,12/24/2023,129.51,0.36,32.13
64,1063,232,12/24/2020,56.52,0.1,19.79
65,1064,4,1/4/2022,697.55,0.3,190.97
66,1065,506,7/14/2023,453,0.21,196.8
67,1066,593,5/18/2020,175.14,0.31,50.92
68,1067,178,7/31/2020,330.91,0.7,38.44
69,1068,203,6/26/2020,655.04,0.14,267.84
70,1069,105,4/8/2023,68.31,0.37,10.79
71,1070,415,9/5/2023,161.7,0.25,36.57
72,1071,223,3/26/2020,439.23,0.04,104.87
73,1072,803,2/6/2021,115.44,0.5,25.57
74,1073,423,12/24/2021,318.24,0.06,73.26
75,1074,787,5/16/2023,204.26,0.14,81.42
76,1075,974,9/6/2021,328.67,0.21,145.34
77,1076,580,1/30/2020,157.61,0.08,86.7
78,1077,349,3/29/2023,130.49,0.27,32.45
79,1078,145,8/24/2021,51.3,0.16,9.01
80,1079,800,12/6/2020,283.21,0.65,21.55
81,1080,876,9/17/2023,200.81,0.17,98.93
82,1081,673,3/28/2023,338.87,0.07,135.7
83,1082,475,8/1/2021,261.49,0.27,76.63
84,1083,9,5/9/2020,75.28,0.14,24.77
85,1084,736,1/6/2021,248.8,0.09,113.81
86,1085,914,10/4/2021,62.6,0.52,15.53
87,1086,780,3/2/2023,126.29,0.21,59.11
88,1087,77,7/7/2022,50.27,0.55,12.99
89,1088,135,6/26/2023,52.01,0.36,19.33
90,1089,835,7/3/2023,58.18,0.47,6.71
91,1090,371,4/22/2023,267.93,0.56,65.38
92,1091,144,3/15/2020,235.18,0.52,26.44
93,1092,413,10/31/2023,154.7,0.09,40.03
94,1093,29,4/12/2021,481.76,0.1,227.98
95,1094,895,10/12/2020,273.4,0.44,59.37
96,1095,524,5/20/2021,355.53,0.13,146.19
97,1096,139,2/16/2023,393.67,0.48,92.29
98,1097,107,1/15/2023,290.52,0.52,79.73
99,1098,457,12/24/2023,353.55,0.76,28.07
100,1099,744,7/5/2022,436.99,0.29,79.72
101,1100,748,10/23/2023,356.62,0.05,131.27
102,1101,680,5/7/2022,254.21,0.34,76.12
103,1102,884,8/16/2022,189.47,0.18,69.79
104,1103,393,3/8/2022,214.66,0.23,75.63
105,1104,237,5/31/2022,169.18,0.24,32.5
106,1105,26,3/15/2020,192.57,0.46,56.23
107,1106,888,7/19/2023,202.79,0.44,41.49
108,1107,111,3/4/2022,365.36,0.26,112.92
109,1108,331,12/4/2020,841.23,0.34,252.71
110,1109,823,12/8/2022,538.12,0.78,31.43
111,1110,770,3/28/2023,262.11,0.68,31.91
112,1111,180,10/17/2021,410.11,0.16,169.08
113,1112,583,5/25/2020,57.06,0.11,19.9
114,1113,777,2/17/2021,170.99,0.43,27.78
115,1114,384,9/26/2021,278.07,0.37,66.43
116,1115,902,2/4/2020,200.24,0.27,35.51
117,1116,324,8/19/2023,210.37,0.39,43.42
118,1117,446,3/11/2021,213.52,0.38,49.47
119,1118,687,3/1/2023,57.44,0.23,12.71
120,1119,959,6/7/2023,427.66,0.09,229.46
121,1120,190,8/21/2022,173.98,0.25,73.8
