Campaign_ID,Customer_ID,Campaign_Type,Impressions,Clicks,Conversions,Spend
1,1000,Email,10064,495,12,350.1
2,1001,Social Media,10046,510,9,754.92
3,1002,Email,10025,460,11,550.11
4,1003,Email,10079,566,6,723.35
5,1004,TV,9875,490,12,653.11
6,1005,Social Media,10144,492,12,625.78
7,1006,TV,9878,488,5,512.62
8,1007,Social Media,10021,503,9,228.35
9,1008,Email,9938,494,19,26.58
10,1009,Email,10094,484,6,180.46
11,1010,Email,9903,491,9,431.13
12,1011,Social Media,10148,483,7,336.89
13,1012,TV,9915,534,4,95.84
14,1013,Social Media,10223,474,9,284.22
15,1014,TV,9762,498,6,296.23
16,1015,Social Media,9949,460,13,341.15
17,1016,TV,10120,495,12,407.71
18,1017,TV,10047,523,12,101.16
19,1018,Billboard,9954,482,13,191.88
20,1019,Social Media,10214,448,11,201.61
21,1020,Email,10003,531,11,663.64
22,1021,Email,10125,492,8,171.23
23,1022,Email,10223,496,10,1275.9
24,1023,Billboard,10053,473,3,166.7
25,1024,Email,9996,498,12,675.78
26,1025,Social Media,10197,496,14,71.17
27,1026,Social Media,9891,466,10,50.34
28,1027,Billboard,9959,483,12,250.86
29,1028,TV,9954,514,15,165.28
30,1029,Billboard,9953,504,11,885.19
31,1030,Email,10060,514,11,839.35
32,1031,Email,10002,515,11,550
33,1032,Social Media,10137,529,9,80.39
34,1033,Social Media,9951,519,10,299.19
35,1034,Email,10073,495,9,129.19
36,1035,Social Media,10112,488,10,317.42
37,1036,TV,9962,489,14,875.28
38,1037,Email,10039,498,9,355.6
39,1038,Social Media,9840,520,10,110.96
40,1039,Billboard,10056,491,5,248.08
41,1040,Social Media,9964,505,11,865.58
42,1041,TV,10095,480,13,286.4
43,1042,Email,9896,515,10,144.04
44,1043,TV,10062,492,10,175.84
45,1044,TV,9935,513,17,59.9
46,1045,TV,9980,456,12,283.26
47,1046,Email,9853,532,19,326.27
48,1047,Email,9870,499,5,1015.01
49,1048,TV,9988,511,17,405.01
50,1049,TV,10013,515,15,290.93
51,1050,Email,9967,467,8,293.24
52,1051,TV,9974,499,3,886.9
53,1052,Billboard,10085,497,8,250.45
54,1053,Social Media,10011,474,13,371.48
55,1054,Email,9968,497,4,43.28
56,1055,Social Media,10165,491,11,193.22
57,1056,Email,9896,500,8,324.76
58,1057,Social Media,9976,483,10,1037.72
59,1058,Email,10013,497,12,641.14
60,1059,Email,9927,486,10,452.81
61,1060,TV,10134,500,6,546.59
62,1061,Email,9881,511,12,173.84
63,1062,Social Media,9988,463,7,130.05
64,1063,TV,9876,521,15,191.48
65,1064,Email,9872,502,15,390.28
66,1065,Social Media,10076,543,12,271.62
67,1066,Social Media,10020,495,7,275.85
68,1067,Social Media,10116,534,6,763.88
69,1068,Email,9949,506,13,1182.46
70,1069,Social Media,10066,484,15,130.06
