Operation_ID,Customer_ID,Order_Date,Delivery_Date,Delivery_Status,Order_Status,Inventory_Used
1,1000,2/18/2023,10/14/2022,Delivered,Completed,30
2,1001,3/25/2022,5/11/2021,Pending,Completed,35
3,1002,12/7/2020,10/16/2022,Delivered,Completed,28
4,1003,3/22/2023,3/27/2022,Delivered,Completed,29
5,1004,8/24/2023,6/10/2020,Delivered,Completed,27
6,1005,6/15/2020,6/17/2021,Cancelled,Completed,43
7,1006,1/3/2023,5/23/2023,Delivered,Completed,30
8,1007,9/2/2022,6/1/2023,Delivered,Completed,30
9,1008,7/29/2023,12/5/2022,Delivered,Completed,17
10,1009,4/12/2023,8/19/2023,Delivered,Completed,25
11,1010,2/15/2021,7/6/2020,Delivered,Completed,31
12,1011,9/10/2023,11/28/2020,Delivered,Completed,28
13,1012,8/6/2023,3/4/2023,Cancelled,Completed,26
14,1013,11/3/2023,7/1/2020,Delivered,Completed,31
15,1014,8/14/2022,9/16/2022,Delivered,Completed,21
16,1015,11/27/2021,5/24/2023,Returned,Completed,30
17,1016,5/26/2023,4/23/2023,Pending,Completed,31
18,1017,5/26/2021,4/1/2023,Delivered,Completed,32
19,1018,7/5/2023,1/26/2023,Delivered,Completed,22
20,1019,7/18/2022,4/15/2023,Delivered,Completed,21
21,1020,7/23/2023,4/1/2020,Delivered,Completed,16
22,1021,9/25/2020,10/16/2023,Delivered,Completed,29
23,1022,9/6/2022,11/1/2022,Pending,Completed,22
24,1023,12/26/2021,11/12/2022,Cancelled,Completed,30
25,1024,7/21/2020,5/10/2021,Delivered,Completed,42
26,1025,3/19/2021,9/22/2023,Delivered,Completed,33
27,1026,6/8/2020,7/25/2023,Delivered,Completed,40
28,1027,10/31/2021,6/3/2023,Delivered,Completed,36
29,1028,12/1/2022,4/23/2020,Delivered,Completed,28
30,1029,2/15/2022,5/9/2022,Delivered,Completed,26
31,1030,10/19/2020,11/11/2023,Delivered,Completed,42
32,1031,2/17/2020,9/22/2022,Delivered,Completed,31
33,1032,8/24/2022,12/11/2023,Delivered,Completed,21
34,1033,5/28/2020,7/24/2023,Delivered,Completed,26
35,1034,2/24/2021,6/9/2022,Delivered,Completed,41
36,1035,12/9/2022,6/26/2022,Pending,Completed,27
37,1036,3/17/2023,12/31/2020,Delivered,Completed,36
38,1037,5/30/2021,10/10/2022,Delivered,Completed,25
39,1038,9/1/2022,3/25/2020,Delivered,Completed,28
40,1039,9/26/2023,4/24/2022,Delivered,Completed,23
41,1040,8/12/2022,12/7/2020,Delivered,Completed,29
42,1041,10/3/2023,6/8/2020,Delivered,Completed,36
43,1042,2/8/2023,4/12/2023,Returned,Completed,38
44,1043,11/19/2021,2/19/2023,Delivered,Completed,40
45,1044,9/5/2021,7/2/2022,Delivered,Completed,25
46,1045,7/27/2023,10/24/2023,Cancelled,Completed,37
47,1046,7/23/2023,9/5/2023,Delivered,Completed,27
48,1047,4/16/2020,7/10/2020,Pending,Processing,38
49,1048,6/28/2022,3/8/2022,Delivered,Completed,30
50,1049,4/13/2023,5/13/2020,Delivered,Completed,19
51,1050,6/16/2021,3/31/2020,Pending,Completed,29
52,1051,12/8/2021,9/17/2020,Pending,Processing,23
53,1052,5/19/2021,4/3/2020,Pending,Completed,20
54,1053,6/13/2023,5/13/2020,Delivered,Completed,33
55,1054,3/10/2021,7/2/2021,Delivered,Completed,39
56,1055,7/14/2021,10/17/2021,Delivered,Completed,30
57,1056,6/22/2020,7/8/2023,Delivered,Completed,32
58,1057,7/30/2020,10/16/2023,Delivered,Completed,37
59,1058,1/13/2021,1/26/2020,Delivered,Processing,36
60,1059,3/23/2021,1/15/2022,Pending,Completed,36
61,1060,4/15/2022,6/25/2020,Delivered,Completed,22
62,1061,9/5/2021,12/24/2023,Delivered,Completed,36
63,1062,4/12/2022,7/18/2021,Delivered,Completed,33
64,1063,11/20/2023,5/24/2023,Delivered,Completed,33
65,1064,1/5/2021,5/23/2023,Delivered,Completed,38
66,1065,8/17/2023,12/16/2020,Delivered,Completed,32
67,1066,1/17/2023,9/22/2020,Delivered,Completed,35
68,1067,10/25/2021,11/13/2023,Delivered,Completed,33
69,1068,4/10/2020,1/4/2023,Delivered,Completed,31
70,1069,2/7/2022,3/5/2023,Delivered,Completed,21
71,1070,3/20/2023,10/17/2023,Delivered,Completed,37
72,1071,3/28/2022,9/25/2020,Delivered,Completed,25
73,1072,7/23/2022,6/9/2020,Delivered,Processing,29
74,1073,11/12/2023,7/7/2021,Delivered,Completed,27
75,1074,11/14/2020,6/21/2020,Delivered,Completed,25
76,1075,1/13/2020,1/20/2022,Delivered,Completed,29
77,1076,3/24/2022,12/23/2021,Delivered,Completed,29
78,1077,6/28/2021,11/5/2022,Pending,Completed,43
79,1078,8/1/2022,9/9/2021,Delivered,Completed,30
80,1079,9/21/2021,9/15/2023,Delivered,Completed,19
81,1080,1/12/2020,8/24/2020,Delivered,Completed,29
82,1081,12/28/2023,12/27/2021,Delivered,Completed,33
83,1082,11/28/2021,2/9/2021,Cancelled,Processing,26
84,1083,1/28/2022,8/9/2020,Delivered,Completed,28
85,1084,12/21/2023,10/15/2023,Delivered,Completed,34
86,1085,2/3/2020,7/25/2022,Delivered,Completed,39
87,1086,4/3/2021,7/13/2021,Delivered,Completed,29
88,1087,9/1/2022,9/17/2022,Delivered,Completed,29
89,1088,10/8/2021,1/22/2020,Delivered,Completed,31
90,1089,1/26/2020,9/30/2023,Pending,Processing,26
91,1090,9/11/2020,1/1/2022,Delivered,Completed,28
92,1091,4/18/2022,3/12/2023,Delivered,Processing,25
93,1092,1/1/2020,9/6/2023,Delivered,Completed,22
94,1093,10/23/2021,2/17/2020,Pending,Completed,29
95,1094,1/16/2022,11/17/2022,Delivered,Completed,27
96,1095,9/29/2022,12/7/2023,Delivered,Completed,36
97,1096,3/29/2020,12/11/2021,Delivered,Completed,31
98,1097,7/22/2021,4/26/2022,Pending,Completed,27
99,1098,9/10/2022,9/24/2021,Pending,Completed,23
100,1099,11/7/2022,6/3/2020,Delivered,Completed,32
101,1100,7/2/2022,6/20/2022,Delivered,Processing,35
102,1101,9/30/2023,12/6/2021,Delivered,Completed,24
103,1102,5/9/2020,2/17/2020,Delivered,Completed,26
104,1103,9/28/2020,8/10/2021,Delivered,Completed,35
105,1104,4/20/2021,6/2/2022,Pending,Completed,27
106,1105,9/9/2022,1/21/2022,Delivered,Completed,28
107,1106,12/27/2020,1/6/2023,Delivered,Completed,34
108,1107,2/12/2023,7/14/2021,Delivered,Completed,29
109,1108,8/18/2022,7/31/2022,Delivered,Completed,27
110,1109,12/20/2023,10/18/2021,Delivered,Completed,28
111,1110,4/30/2021,7/6/2020,Delivered,Completed,30
112,1111,1/10/2022,9/17/2021,Delivered,Completed,31
113,1112,9/28/2022,9/24/2020,Pending,Completed,28
114,1113,3/31/2022,9/24/2020,Delivered,Completed,17
115,1114,11/28/2022,1/22/2020,Delivered,Completed,27
116,1115,1/2/2022,10/13/2020,Delivered,Completed,36
117,1116,6/7/2022,7/24/2020,Delivered,Completed,28
118,1117,6/2/2021,12/26/2020,Delivered,Failed,36
119,1118,11/6/2020,9/8/2023,Delivered,Completed,34
120,1119,7/1/2023,3/19/2023,Delivered,Completed,26
121,1120,4/26/2022,3/18/2023,Delivered,Completed,36
122,1121,12/12/2021,10/21/2023,Delivered,Completed,26
123,1122,3/10/2021,4/27/2020,Delivered,Completed,33
124,1123,6/20/2023,9/9/2022,Delivered,Completed,38
125,1124,4/2/2023,12/13/2023,Delivered,Completed,31
126,1125,9/2/2023,10/15/2021,Pending,Completed,35
127,1126,4/25/2023,5/11/2022,Delivered,Completed,34
128,1127,5/5/2020,7/24/2020,Delivered,Completed,24
129,1128,6/23/2023,4/13/2022,Delivered,Completed,27
130,1129,10/2/2021,12/17/2020,Delivered,Completed,47
131,1130,8/4/2021,4/24/2022,Cancelled,Completed,35
132,1131,8/23/2022,1/7/2022,Delivered,Completed,30
133,1132,6/16/2020,12/5/2023,Delivered,Completed,29
134,1133,10/14/2022,7/25/2022,Delivered,Completed,24
135,1134,11/13/2023,9/13/2022,Delivered,Completed,24
136,1135,6/17/2022,5/26/2020,Delivered,Completed,29
137,1136,6/3/2021,11/13/2020,Delivered,Completed,28
138,1137,7/16/2020,12/6/2020,Delivered,Completed,26
139,1138,5/15/2022,5/13/2023,Returned,Completed,32
140,1139,12/13/2022,4/2/2020,Delivered,Processing,30
141,1140,5/15/2022,8/18/2022,Delivered,Completed,35
142,1141,9/26/2022,8/21/2023,Delivered,Completed,20
143,1142,8/2/2021,2/28/2020,Pending,Failed,32
144,1143,11/11/2023,4/29/2020,Pending,Completed,23
145,1144,7/22/2021,1/14/2021,Delivered,Completed,30
